"id","nome","status","source_url","new_count","sha256","arquivo","erro"
"afloramentos_geosgb_ms","Afloramentos e pontos geológicos GeoSGB","capturado_candidato","https://geoportal.sgb.gov.br/server/rest/services/geologia/afloramentos/MapServer/0","9982","5019e2f7635ea4e72568ec4ce2d8ee78cf0a479b5bb7c482ac0cef4777c5f875","camadas/snapshots/2026-08-15/afloramentos_geosgb_ms.geojson",""
"petrografia_geosgb_ms","Registros petrográficos e lâminas descritas","capturado_candidato","https://geoportal.sgb.gov.br/server/rest/services/geologia/petrografia/MapServer/0","340","6480d50e0a5c72af0f239e55a97c930a11754a8d5b9bd3cf5dbf6119ecc238fe","camadas/snapshots/2026-08-15/petrografia_geosgb_ms.geojson",""
"geocronologia_geosgb_ms","Dados geocronológicos","capturado_candidato","https://geoportal.sgb.gov.br/server/rest/services/geologia/geocronologia/MapServer/0","13","5a028da2fdf78be483f1ebc97a802fadbc0071643285f6da05ab8b6cdb727cc3","camadas/snapshots/2026-08-15/geocronologia_geosgb_ms.geojson",""
"mapa_recursos_minerais_ms","Ocorrências minerais SGB · classes utilitárias","capturado_candidato","https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer/0","282","fa7a46f1db7abc94b536428ffa56faaa638704a9fe9d675a4893d272a513132f","camadas/snapshots/2026-08-15/mapa_recursos_minerais_ms.geojson",""
"mapa_geologico_ms","Mapa geológico de Mato Grosso do Sul 1:1.000.000","capturado_candidato","https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer/7","870","4f70bbf72311da811a4b8ae4025caf87fa53e444b90d29dd8cfbc892e36e3c54","camadas/snapshots/2026-08-15/mapa_geologico_ms.geojson",""
"mapa_solos_ms","Mapa de solos de Mato Grosso do Sul 1:250.000","capturado_candidato","https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/42","1851","983e2ba705d02a948b1fd5afddda9beba1c6b5ef6d9119da23ce67825b0f6b63","camadas/snapshots/2026-08-15/mapa_solos_ms.geojson",""
"gravimetria_sgb_ms","Estações gravimétricas SGB em Mato Grosso do Sul","zero_entidades_na_consulta","https://geoportal.sgb.gov.br/server/rest/services/geofisica/gravimetria/MapServer/0","0","","",""
"magnetotelurico_sgb_ms","Estações magnetotelúricas SGB em Mato Grosso do Sul","erro","https://geoportal.sgb.gov.br/server/rest/services/geofisica/geofisica_terrestre/MapServer/2","","","","ArcGIS {""code"":500,""message"":""Error handling service request :Wait timeout for the request exceeded."",""details"":[]}"
"siagas_pocos_ms","SIAGAS · poços e pontos d’água em Mato Grosso do Sul","erro","https://geoportal.sgb.gov.br/server/rest/services/Siagas_WebMap_MIL1/MapServer/0","","","","read ECONNRESET"
"rimas_pocos_monitoramento_ms","RIMAS · poços de monitoramento publicados em Mato Grosso do Sul","erro","https://geoportal.sgb.gov.br/server/rest/services/hidrologia/rimas/MapServer/0","","","","ArcGIS {""code"":503,""message"":""Error handling service request :Wait timeout for the request exceeded."",""details"":[]}"
